feature,mean_importance
51,-0.009154695262212492
20,-0.007024806114842466
34,-0.0053497438146281
1,-0.0011576559852514128
57,-0.00020842957631619918
37,-8.948753280113019e-05
56,0.0
48,0.0
47,0.0
40,0.0
24,0.0
23,0.0
16,0.0
15,0.0
31,0.0
7,0.0
8,0.0
55,3.902963664870196e-07
17,0.00015708497902232332
11,0.0002700219801404641
14,0.0005295956060729883
6,0.0005609470391714749
25,0.0013643993790428354
49,0.0015515931189883203
52,0.001984153913606515
59,0.002629146828154738
2,0.003243651842841719
29,0.004356098823238419
63,0.005339071810485446
58,0.005391474264072682
44,0.005971723808127227
41,0.0066407861120489995
22,0.00802417222409399
18,0.008148500044679685
61,0.009509687479409515
62,0.00954857614034256
12,0.009889443077829768
46,0.01073372915859216
3,0.011353253987249318
28,0.01254839557512687
9,0.012628347031690851
50,0.012878800009029417
4,0.013873753203975853
30,0.014565019916971362
33,0.014920388640187483
35,0.017030814213125123
45,0.019287228234762942
54,0.019332550233491258
10,0.019753365083948156
60,0.020331711252294972
36,0.0229099294155078
5,0.023700660508048914
13,0.029854750321190986
53,0.03002905601173808
38,0.04053920859040255
27,0.049269996251375
43,0.05025620998841664
26,0.055955192778563576
19,0.06441891877211602
42,0.1570048549630851
21,0.3093722632794248
