feature,mean_importance
36,-0.019832082497628065
28,-0.015196283510272798
22,-0.008933130772289377
36_multiply_28,-0.0038552865511675112
2_ratio_13,-0.0028308810539127427
25,-0.001045305434911492
59,-0.000940157069050665
14,-0.0008288342402923754
52_ratio_36,-0.00020682871411468185
24,0.0
23,0.0
40,0.0
47,0.0
16,0.0
48,0.0
31,0.0
56,0.0
8,0.0
7,0.0
15,0.0
55,3.5498131329550484e-05
61_ratio_34,3.625892548469456e-05
57,9.113627047048767e-05
18_ratio_26,0.0001822336352402948
13_ratio_2,0.0002784381341862069
59_ratio_2,0.0004266968876339594
41,0.000598970798001
3,0.0007021943166294953
37,0.0009482965209345439
11,0.000980092274062569
45,0.001199389244121532
57_sum_2,0.001323150679350471
17,0.0015464124082405744
1,0.0016077621051789476
49,0.0017138918734914688
2,0.002036887302142304
63,0.0021646768300946613
44,0.0021695333602484296
34,0.0024816798474970895
61,0.0025287605072158324
4,0.0025644334540036507
13,0.0028856471039408584
10,0.0029951467153673528
61_ratio_3,0.0030489607062257813
6,0.003113880314719239
52,0.0033139080387888597
53,0.004610389964998934
18,0.004810841551653594
12,0.004819048525528749
36_multiply_4,0.0063852610880561576
62,0.007303042582823519
33,0.008438774779162356
29,0.00943527296346904
58,0.009632032815348884
50,0.010524013421885147
60,0.010688103595497772
30,0.010938249992891022
51,0.014029909293842582
46,0.014291965159127725
35,0.014746547674990609
5,0.015360148230256332
54,0.01563423097152896
9,0.016558423608692172
38,0.016585208021492083
43,0.022764672728620077
19,0.026571488743531303
27,0.028636535913908794
20,0.04206104985375436
26,0.06514286649510452
42,0.08695889027677628
21,0.3127600522716629
