feature,mean_importance
52_ratio_36,-0.01466715843856524
44,-0.013992170793537779
58,-0.008869644987207598
10,-0.005480377462594224
52,-0.00247763756777441
61_ratio_34,-0.002150437517369369
59,-0.0016026072440912004
13_ratio_2,-0.0013798732106092948
57_sum_2,-0.0010446801254243743
29,-0.0007411925975399275
3,-0.000620530011063361
12,-0.0005474745291545763
20,-0.00019275789744335192
55,6.515979588999077e-05
22,0.00011871743271611723
41,0.00020540796819856766
57,0.0005006680928632101
2,0.000983097635592295
59_ratio_2,0.00113566669210588
63,0.001149569730533684
25,0.0018259355458764004
9,0.0020324513877019836
46,0.002319781594204187
62,0.0031272925036892997
6,0.0033657569824129376
18,0.0034183913747582286
34,0.005020597214159356
37,0.005140195721182667
4,0.005355584291044979
2_ratio_13,0.005424257259009069
54,0.005441607293491404
17,0.006483753982020191
18_ratio_26,0.00898378531372528
33,0.00985085217433022
28,0.011147973542057075
35,0.011773330588624953
51,0.013048816190542161
53,0.01392836102250305
13,0.014135133510528825
61,0.014566705800000922
30,0.014750879503836722
5,0.014818165985306659
45,0.01730670907448919
60,0.017805756294796332
38,0.020068945915462783
50,0.021370409344209584
27,0.02149967847410773
19,0.02391112888447139
26,0.03931114248010763
43,0.06633831759687984
42,0.10653813170159436
21,0.13306627608208604
