feature,mean_importance
36_multiply_4,-0.005803791860598309
22,-0.005580502876793606
29,-0.005252237011471092
18_ratio_26,-0.004848623941942062
61_ratio_3,-0.004283733982502253
17,-0.00424709266485806
14,-0.0029187387434177646
11,-0.002352589947902295
61,-0.0020901376608297357
33,-0.001984712836293645
2_ratio_13,-0.001540456996327147
34,-0.0012174685685524766
58,-0.0012112320482644905
36,-0.0010010837400002027
1,-0.000949194718378088
52,-0.0009093966049404156
28,-0.0008576668565933449
6,-0.0006030386653350899
53,-0.0005853020754841509
59_ratio_2,-0.00036628316460864395
13_ratio_2,-0.0003661067429940795
57,-0.00011822806103553851
24,0.0
56,0.0
16,0.0
48,0.0
31,0.0
8,0.0
47,0.0
40,0.0
23,1.278414111523518e-05
15,1.5416933938347532e-05
55,1.5952935021357194e-05
7,2.4624699949127304e-05
60,0.00040105840911310866
49,0.0004340317840870689
59,0.00046550071357797653
random_feature,0.0009566261510490948
44,0.0015532526957553056
46,0.0016792639413152678
30,0.001854590864108735
45,0.0018905065210030382
63,0.0023395067952704713
25,0.0023825307728544075
41,0.00316095332099004
57_sum_2,0.0036077870616980285
18,0.004685062511819044
9,0.004711658595089827
10,0.005056608350883468
2,0.0052520495577549455
36_multiply_28,0.00631675952507286
62,0.0073613335283665374
4,0.008399127298316595
54,0.008681130945035637
61_ratio_34,0.008924991942709806
12,0.009281729440544681
3,0.01189370238365393
35,0.012507980104627153
52_ratio_36,0.012526792882094873
13,0.01275804493952389
37,0.016555212749740603
20,0.016744236118248094
27,0.017389210098926987
51,0.01761237343159869
50,0.021647327686989324
19,0.021843555733515683
5,0.02563647025051131
26,0.03158479773436611
43,0.044291260429794234
38,0.046310180146968125
42,0.093841369858481
21,0.11427233743689628
