feature,mean_importance
61,-0.005533887751361854
2_ratio_13,-0.0007947798118251081
18_ratio_26,-0.0004194542838439924
59_ratio_2,-0.00018534700096400347
49,-1.133013206047473e-05
31,-1.571214653839359e-06
40,-3.1701210418955127e-07
16,-1.3877787807814457e-17
56,-1.3877787807814457e-17
24,-1.3877787807814457e-17
48,5.21979533762984e-08
8,2.3060423380832918e-05
47,6.13499867762074e-05
52_ratio_36,0.00016290231148895494
23,0.0007774838204262751
61_ratio_3,0.0011278228625813957
2,0.0011709473641336287
45,0.0013998735584492244
1,0.001405866876238282
53,0.0014819510824824577
7,0.001621180802743924
57_sum_2,0.0018603575356070684
34,0.00228114952561341
57,0.0027424389881529508
14,0.003020631253239808
55,0.003695379976708968
59,0.004116450108425662
25,0.00461083799430031
36_multiply_4,0.004902868106194597
17,0.005394675313251043
11,0.005460445647964154
22,0.006140996023491252
15,0.006279580230205728
62,0.00635292351318269
60,0.006401948567200963
13_ratio_2,0.006590531082904855
41,0.007806826575547798
63,0.00804341293322915
6,0.008262959780176262
61_ratio_34,0.008437704818570266
58,0.008961502459931232
50,0.009070813160927208
35,0.009165735764719135
30,0.009279407151387012
10,0.009418525452146151
9,0.009916099455284336
37,0.010698493781661319
33,0.010701403930926803
36_multiply_28,0.011843156629783871
13,0.012774554159016707
18,0.012836798572598795
52,0.013109478627608421
54,0.013203500183756026
46,0.01451519669065053
28,0.014765943303061418
3,0.01648046225918595
36,0.019339573175494104
26,0.020374578933981907
20,0.020793956443579054
44,0.021245534858077415
4,0.024611646588655643
51,0.025867940763256818
38,0.032579119564619785
29,0.03392114218557095
12,0.03664901789833721
5,0.036812377038374054
27,0.04229403588600413
19,0.05338573390858507
21,0.06395624495833889
42,0.07339383536677634
43,0.09124057704621194
