feature,mean_importance
31,0.0
57,0.0
3,0.0
56,0.0
8,0.0
47,0.0
17,0.0
16,0.0
12,0.0
15,0.0
52,2.2204460492503132e-17
51,2.2204460492503132e-17
48,2.2204460492503132e-17
63,2.2204460492503132e-17
4,2.2204460492503132e-17
40,4.4408920985006264e-17
49,4.4408920985006264e-17
7,4.4408920985006264e-17
46,4.4408920985006264e-17
22,4.4408920985006264e-17
1,4.4408920985006264e-17
55,6.661338147750939e-17
24,6.661338147750939e-17
14,6.661338147750939e-17
11,6.661338147750939e-17
23,6.806349635313236e-05
41,0.0009220590223877112
25,0.0014642872185400835
44,0.0015306088745969059
59,0.0016856465434974988
35,0.0032266164483102378
62,0.0035707794064746114
53,0.004116567657773573
6,0.004660565098126734
45,0.005987991498933564
2,0.00650795999350613
50,0.0070037712594379405
29,0.007078681605827297
9,0.007251285199422308
37,0.008144658433330431
58,0.008258614964144794
10,0.009247201985383136
27,0.011102179848737338
38,0.011291352142992395
18,0.013712411299699512
13,0.016478228535490323
20,0.020462906954378312
19,0.020920229383890775
34,0.027644632415598936
30,0.03588168629616133
5,0.054575996913371116
60,0.06047507440900588
54,0.06892709252845461
28,0.06946584017992474
61,0.07716642959367699
33,0.13239586131256567
26,0.16242152686149758
42,0.17375819488546124
36,0.24444095562525076
43,0.2731026521209971
21,0.2850171377810285
