feature,mean_importance
20,-0.013813792686636744
59,-0.004819916473644182
10,-0.004119295276302509
57_sum_2,-0.00365447228680611
18_ratio_26,-0.0036456385508201183
52_ratio_36,-0.0029272107382868643
62,-0.0022039779359080748
3,-0.0017733737029122898
14,-0.001289276047585336
1,-0.0011402421866316347
12,-0.0007816138244437137
49,-0.0005977941005318455
22,-0.0004095134312849691
36_multiply_28,-0.00040394799040429085
11,-3.909565257432801e-05
25,-2.0338196207009272e-05
16,0.0
56,0.0
8,0.0
40,0.0
48,0.0
24,0.0
47,0.0
31,0.0
23,1.1480661809004644e-07
55,1.9735771600554175e-05
57,3.3957271874107686e-05
7,9.135893738426159e-05
2_ratio_13,0.00024277831762721248
52,0.0003667441036514063
2,0.0005983999277311026
63,0.0006179439941116138
9,0.0007353022978094925
44,0.0012048773085533925
13_ratio_2,0.0015915911233707835
36_multiply_4,0.0016233893990115877
59_ratio_2,0.0016884939523679698
58,0.001924277912836722
34,0.0019378832524133249
61_ratio_34,0.001984094599560421
4,0.0020237736445949616
15,0.002214057641661499
61_ratio_3,0.003840163825864512
6,0.0038669893870722006
29,0.0047294478107829776
46,0.0054511159716656545
41,0.00566511764619917
13,0.0065027178615286955
18,0.0068585676000634255
37,0.006913874077029031
36,0.007593237141238723
61,0.010109919187524973
17,0.01030342587937067
30,0.011823445747718559
51,0.013358073234998019
19,0.015934560650051905
33,0.01706597620124169
54,0.017426419196676497
50,0.01968835665266892
53,0.020348029481869017
35,0.02241835468605069
60,0.023155506385005048
5,0.0234472755997716
27,0.023794563119822403
28,0.026426056823826788
45,0.03690084411431004
38,0.04649240887937911
43,0.0601476205865316
26,0.07411315357535048
42,0.1845976514285358
21,0.43109364829097246
